% TIME (GPST)           NSAT     GDOP     PDOP     HDOP     VDOP (EL>=20deg)
2022/05/29 13:51:35.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:36.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:37.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:38.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:39.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:40.4      4      9.1      7.5      2.8      7.0
2022/05/29 13:51:41.4      4      9.2      7.5      2.8      7.0
2022/05/29 13:51:42.4      4      9.2      7.5      2.8      7.0
2022/05/29 13:51:43.4      4      9.2      7.6      2.9      7.0
2022/05/29 13:51:44.4      4      9.2      7.6      2.9      7.0
2022/05/29 13:51:45.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:46.4      4      9.2      7.6      2.9      7.0
2022/05/29 13:51:47.4      4      9.2      7.6      2.9      7.0
2022/05/29 13:51:48.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:49.4      4      9.2      7.6      2.9      7.0
2022/05/29 13:51:50.4      4      9.2      7.6      2.9      7.0
2022/05/29 13:51:51.4      4      9.2      7.6      2.9      7.1
2022/05/29 13:51:52.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:53.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:54.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:55.4      4      9.3      7.6      2.9      7.1
2022/05/29 13:51:56.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:57.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:51:58.4      4      9.3      7.7      2.9      7.1
2022/05/29 13:51:59.4      4      9.3      7.7      2.9      7.1
2022/05/29 13:52:00.4      4      9.3      7.7      2.9      7.1
2022/05/29 13:52:01.4      4      9.3      7.7      2.9      7.1
2022/05/29 13:52:02.4      4      9.3      7.7      2.9      7.1
2022/05/29 13:52:03.4      4      9.3      7.7      2.9      7.1
2022/05/29 13:52:04.4      4      9.4      7.7      2.9      7.1
2022/05/29 13:52:05.4      4      9.4      7.7      2.9      7.1
2022/05/29 13:52:06.4      4      9.4      7.7      2.9      7.2
2022/05/29 13:52:07.4      4      9.4      7.7      2.9      7.2
2022/05/29 13:52:08.4      4      9.4      7.7      2.9      7.2
2022/05/29 13:52:09.4      4      9.4      7.7      2.9      7.2
2022/05/29 13:52:10.4      4      9.4      7.7      2.9      7.2
2022/05/29 13:52:11.4      4      9.4      7.8      2.9      7.2
2022/05/29 13:52:12.4      4      9.4      7.8      2.9      7.2
2022/05/29 13:52:13.4      4      9.4      7.8      2.9      7.2
2022/05/29 13:52:14.4      4      9.4      7.8      2.9      7.2
2022/05/29 13:52:15.4      4      9.5      7.8      2.9      7.2
2022/05/29 13:52:16.4      4      9.5      7.8      2.9      7.2
2022/05/29 13:52:17.4      4      9.5      7.8      2.9      7.2
2022/05/29 13:52:18.4      4      9.5      7.8      2.9      7.2
2022/05/29 13:52:19.4      4      9.5      7.8      2.9      7.2
2022/05/29 13:52:20.4      4      9.5      7.8      2.9      7.3
2022/05/29 13:52:21.4      4      9.5      7.8      2.9      7.3
2022/05/29 13:52:22.4      4      9.5      7.8      2.9      7.3
2022/05/29 13:52:23.4      4      9.5      7.8      2.9      7.3
2022/05/29 13:52:24.4      4      9.5      7.9      2.9      7.3
2022/05/29 13:52:25.4      4      9.5      7.9      2.9      7.3
2022/05/29 13:52:26.4      4      9.6      7.9      2.9      7.3
2022/05/29 13:52:27.4      4      9.6      7.9      2.9      7.3
2022/05/29 13:52:28.4      4      9.6      7.9      2.9      7.3
2022/05/29 13:52:29.4      4      9.6      7.9      2.9      7.3
2022/05/29 13:52:30.4      4      9.6      7.9      2.9      7.3
2022/05/29 13:52:31.4      4      9.6      7.9      3.0      7.3
2022/05/29 13:52:32.4      4      9.6      7.9      3.0      7.3
2022/05/29 13:52:33.4      4      9.6      7.9      3.0      7.4
2022/05/29 13:52:34.4      4      9.6      7.9      3.0      7.4
2022/05/29 13:52:35.4      4      9.6      7.9      3.0      7.4
2022/05/29 13:52:36.4      4      9.7      7.9      3.0      7.4
2022/05/29 13:52:37.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:38.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:39.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:40.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:41.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:42.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:43.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:44.4      3      0.0      0.0      0.0      0.0
2022/05/29 13:52:45.4      3      0.0      0.0      0.0      0.0
