% TIME (GPST)           NSAT     GDOP     PDOP     HDOP     VDOP (EL>=30deg)
2022/05/29 13:51:35.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:36.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:37.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:38.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:39.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:40.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:41.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:42.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:43.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:44.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:45.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:46.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:47.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:48.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:49.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:50.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:51.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:52.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:53.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:54.4      4     23.5     18.4      7.6     16.7
2022/05/29 13:51:55.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:56.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:57.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:58.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:51:59.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:00.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:01.4      4     23.6     18.5      7.7     16.9
2022/05/29 13:52:02.4      4     23.7     18.5      7.7     16.9
2022/05/29 13:52:03.4      4     23.7     18.6      7.7     16.9
2022/05/29 13:52:04.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:05.4      4     23.7     18.6      7.7     16.9
2022/05/29 13:52:06.4      4     23.8     18.6      7.7     16.9
2022/05/29 13:52:07.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:08.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:09.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:10.4      4     23.9     18.7      7.8     17.0
2022/05/29 13:52:11.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:12.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:13.4      5     11.2      8.9      3.6      8.1
2022/05/29 13:52:14.4      4     24.0     18.8      7.8     17.1
2022/05/29 13:52:15.4      4     24.0     18.8      7.8     17.1
2022/05/29 13:52:16.4      4     24.0     18.8      7.8     17.1
2022/05/29 13:52:17.4      5     11.2      8.9      3.5      8.1
2022/05/29 13:52:18.4      5     11.2      8.9      3.5      8.1
2022/05/29 13:52:19.4      5     11.2      8.9      3.5      8.1
2022/05/29 13:52:20.4      4     24.1     18.9      7.8     17.2
